날짜,지역명,지표,거래구분,값
2025-10-13,경남,가격지수,매매,99.6765
2025-10-20,경남,가격지수,매매,99.6734
2025-10-27,경남,가격지수,매매,99.7226
2025-11-03,경남,가격지수,매매,99.7356
2025-11-10,경남,가격지수,매매,99.7691
2025-11-17,경남,가격지수,매매,99.7865
2025-11-24,경남,가격지수,매매,99.8212
2025-12-01,경남,가격지수,매매,99.8514
2025-12-08,경남,가격지수,매매,99.8771
2025-12-15,경남,가격지수,매매,99.9049
2025-12-22,경남,가격지수,매매,99.9307
2025-12-29,경남,가격지수,매매,99.9704
2026-01-05,경남,가격지수,매매,99.9844
2026-01-12,경남,가격지수,매매,100.0
2026-01-19,경남,가격지수,매매,100.0162
2026-01-26,경남,가격지수,매매,100.0438
2026-02-02,경남,가격지수,매매,100.0644
2026-02-09,경남,가격지수,매매,100.1524
2026-02-23,경남,가격지수,매매,100.244
2026-03-02,경남,가격지수,매매,100.3032
2026-03-09,경남,가격지수,매매,100.3268
2026-03-16,경남,가격지수,매매,100.3436
2026-03-23,경남,가격지수,매매,100.3766
2026-03-30,경남,가격지수,매매,100.4088
2026-04-06,경남,가격지수,매매,100.4361
2026-04-13,경남,가격지수,매매,100.4727
2026-04-20,경남,가격지수,매매,100.4799
2026-04-27,경남,가격지수,매매,100.5235
2026-05-04,경남,가격지수,매매,100.5437
2026-05-11,경남,가격지수,매매,100.5489
2026-05-18,경남,가격지수,매매,100.5301
2026-05-25,경남,가격지수,매매,100.5312
2026-06-01,경남,가격지수,매매,100.5285
2026-06-08,경남,가격지수,매매,100.5528
2026-06-15,경남,가격지수,매매,100.5496
2026-06-22,경남,가격지수,매매,100.5509
2024-06-24,경북,가격지수,매매,102.1251
2024-07-01,경북,가격지수,매매,102.1169
2024-07-08,경북,가격지수,매매,102.0466
2024-07-15,경북,가격지수,매매,102.0172
2024-07-22,경북,가격지수,매매,101.9478
2024-07-29,경북,가격지수,매매,101.9347
2024-08-05,경북,가격지수,매매,101.9043
2024-08-12,경북,가격지수,매매,101.8933
2024-08-19,경북,가격지수,매매,101.8157
2024-08-26,경북,가격지수,매매,101.8206
2024-09-02,경북,가격지수,매매,101.7957
2024-09-09,경북,가격지수,매매,101.8004
2024-09-23,경북,가격지수,매매,101.7848
2024-09-30,경북,가격지수,매매,101.7785
2024-10-07,경북,가격지수,매매,101.7773
2024-10-14,경북,가격지수,매매,101.7511
2024-10-21,경북,가격지수,매매,101.7108
2024-10-28,경북,가격지수,매매,101.6998
2024-11-04,경북,가격지수,매매,101.6727
2024-11-11,경북,가격지수,매매,101.6752
2024-11-18,경북,가격지수,매매,101.6598
2024-11-25,경북,가격지수,매매,101.6075
2024-12-02,경북,가격지수,매매,101.4898
2024-12-09,경북,가격지수,매매,101.4484
2024-12-16,경북,가격지수,매매,101.3545
2024-12-23,경북,가격지수,매매,101.2903
2024-12-30,경북,가격지수,매매,101.2535
2025-01-06,경북,가격지수,매매,101.1987
2025-01-13,경북,가격지수,매매,101.0877
2025-01-20,경북,가격지수,매매,100.9824
2025-02-03,경북,가격지수,매매,100.8465
2025-02-10,경북,가격지수,매매,100.8086
